;Zeit;L Aeq, T=1s;L AFmax, T=1s;
;18.01.2016   09:24:55;51,2 dB(A);51,9 dB(A);
;18.01.2016   09:24:56;51,5 dB(A);51,9 dB(A);
;18.01.2016   09:24:57;54,1 dB(A);58,1 dB(A);
;18.01.2016   09:24:58;51,3 dB(A);51,6 dB(A);
;18.01.2016   09:24:59;51,5 dB(A);51,8 dB(A);
;18.01.2016   09:25:01;53,8 dB(A);54,7 dB(A);
;18.01.2016   09:25:02;56,2 dB(A);57,8 dB(A);
;18.01.2016   09:25:03;53,6 dB(A);56,3 dB(A);
;18.01.2016   09:25:04;51,6 dB(A);52,3 dB(A);
;18.01.2016   09:25:05;51,6 dB(A);53,7 dB(A);
;18.01.2016   09:25:06;53,1 dB(A);55,0 dB(A);
;18.01.2016   09:25:07;51,0 dB(A);51,3 dB(A);
;18.01.2016   09:25:08;51,3 dB(A);51,6 dB(A);
;18.01.2016   09:25:09;51,1 dB(A);51,6 dB(A);
;18.01.2016   09:25:10;53,3 dB(A);54,7 dB(A);
;18.01.2016   09:25:11;51,7 dB(A);53,2 dB(A);
;18.01.2016   09:25:12;51,1 dB(A);51,2 dB(A);
;18.01.2016   09:25:13;51,3 dB(A);53,5 dB(A);
;18.01.2016   09:25:14;52,5 dB(A);54,3 dB(A);
;18.01.2016   09:25:15;51,6 dB(A);52,1 dB(A);
;18.01.2016   09:25:16;52,0 dB(A);53,0 dB(A);
;18.01.2016   09:25:17;51,7 dB(A);52,2 dB(A);
;18.01.2016   09:25:18;51,5 dB(A);52,8 dB(A);
;18.01.2016   09:25:19;52,0 dB(A);52,9 dB(A);
;18.01.2016   09:25:20;51,8 dB(A);53,3 dB(A);
;18.01.2016   09:25:21;51,7 dB(A);52,3 dB(A);
;18.01.2016   09:25:22;51,4 dB(A);51,6 dB(A);
;18.01.2016   09:25:23;51,7 dB(A);52,9 dB(A);
;18.01.2016   09:25:24;51,9 dB(A);52,9 dB(A);
;18.01.2016   09:25:25;53,9 dB(A);58,5 dB(A);
;18.01.2016   09:25:26;51,0 dB(A);51,3 dB(A);
;18.01.2016   09:25:27;51,6 dB(A);55,1 dB(A);
;18.01.2016   09:25:28;53,0 dB(A);55,9 dB(A);
;18.01.2016   09:25:29;50,9 dB(A);51,0 dB(A);
;18.01.2016   09:25:30;51,3 dB(A);51,5 dB(A);
;18.01.2016   09:25:31;54,3 dB(A);56,3 dB(A);
;18.01.2016   09:25:32;51,4 dB(A);51,8 dB(A);
